Accession,Species,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Collection_Date
LR743431,West Nile virus,11019,complete,,,,,
LR743432,West Nile virus,11022,complete,,,,,
LR743433,West Nile virus,11072,complete,,,,,
LR743434,West Nile virus,11079,complete,,,,,
LR743435,West Nile virus,11019,complete,,,,,
LR743436,West Nile virus,11069,complete,,,,,
LR743437,West Nile virus,11013,complete,,,,,
LR743442,West Nile virus,11073,complete,,,,,
LR743443,West Nile virus,11068,complete,,,,,
LR743444,West Nile virus,11076,complete,,,,,
LR743445,West Nile virus,11029,complete,,,,,
LR743446,West Nile virus,11018,complete,,,,,
LR743447,West Nile virus,10995,complete,,,,,
LR743448,West Nile virus,11022,complete,,,,,
LR743449,West Nile virus,11018,complete,,,,,
LR743450,West Nile virus,11019,complete,,,,,
LR743451,West Nile virus,11024,complete,,,,,
LR743452,West Nile virus,11026,complete,,,,,
LR743453,West Nile virus,11019,complete,,,,,
LR743454,West Nile virus,11023,complete,,,,,
LR743455,West Nile virus,10995,complete,,,,,
LR743456,West Nile virus,11019,complete,,,,,
LR743457,West Nile virus,11022,complete,,,,,
LR743458,West Nile virus,11022,complete,,,,,
MN794935,West Nile virus,11043,complete,Germany,Germany,,Homo sapiens,2019
MN794937,West Nile virus,11056,complete,Germany,Germany,,Turdus merula,2019
MN794938,West Nile virus,11056,complete,Germany,Germany,,Passer domesticus,2019
MN794939,West Nile virus,11056,complete,Germany,Germany,,Prunella modularis,2019
MT341470,West Nile virus,10787,complete,Greece,Greece,,Culex,2019-07
MT341471,West Nile virus,10787,complete,Greece,Greece,,Culex,2019-07
MT341472,West Nile virus,10787,complete,Bulgaria,Bulgaria,,Culex,2018-08
MN149538,West Nile virus,10991,complete,Russia,Russia,,Acrocephalus dumetorum,2006-05
MN652878,West Nile virus,10926,complete,Greece,Greece,,Culex,2018-07
MN652879,West Nile virus,10926,complete,Greece,Greece,,Culex,2018-07
MN652880,West Nile virus,10926,complete,Greece,Greece,,Culex,2018-08
MH939153,West Nile virus,10948,complete,Romania,Romania,,Anopheles hyrcanus,2014
MH939154,West Nile virus,10976,complete,Romania,Romania,,Culex pipiens,2014
MN480792,West Nile virus,10926,complete,Greece,Greece,,Homo sapiens,2018-08
MN480793,West Nile virus,10926,complete,Greece,Greece,,Homo sapiens,2018-08
MN480794,West Nile virus,10926,complete,Greece,Greece,,Culex,2018-09
MN480795,West Nile virus,10926,complete,Greece,Greece,,Homo sapiens,2018-08
MN481589,West Nile virus,10926,complete,Greece,Greece,,Gallus gallus,2018-07-17
MN481590,West Nile virus,10926,complete,Greece,Greece,,Equus caballus,2018-07-17
MN481591,West Nile virus,10926,complete,Greece,Greece,,Canis lupus familiaris,2018-08-23
MN481592,West Nile virus,10926,complete,Greece,Greece,,Culicidae,2012-08-02
MN481593,West Nile virus,10926,complete,Greece,Greece,,Culicidae,2012-08-22
MN481594,West Nile virus,10926,complete,Greece,Greece,,Culicidae,2012-09-05
MN481595,West Nile virus,10926,complete,Greece,Greece,,Columbidae,2010-09-30
MN481596,West Nile virus,10926,complete,Greece,Greece,,Gallus gallus,2011-07-06
MN481597,West Nile virus,10926,complete,Greece,Greece,,Gallus gallus,2012-08-27
MK352483,West Nile virus,10785,complete,USA: District of Columbia,USA,DC,Psorophora,2018
MH643887,West Nile virus,11019,complete,Brazil,Brazil,,Equus caballus,2018-04-26
MH986055,West Nile virus,11029,complete,Germany,Germany,,Turdus merula,2018
MH986056,West Nile virus,11018,complete,Germany,Germany,,Turdus merula,2018
MH924836,West Nile virus,11080,complete,Germany,Germany,,Strix nebulosa,2018-08-22
MH166882,West Nile virus,11028,complete,"USA: VA, Norfolk County",USA,VA,Aves,2000
MH166883,West Nile virus,11023,complete,"USA: VA, Norfolk County",USA,VA,Aves,2002
MH166884,West Nile virus,11023,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,2004
MH166885,West Nile virus,11023,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,2009
MH166886,West Nile virus,11027,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,2001
MH166887,West Nile virus,11025,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,2002
MH166888,West Nile virus,11023,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,2005
MH166889,West Nile virus,11021,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,2006
MH166890,West Nile virus,11029,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,2006
MH166891,West Nile virus,11025,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,2007
MH166892,West Nile virus,11024,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,2008
MH166893,West Nile virus,11018,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,2010
MH166894,West Nile virus,11023,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,2007
MH166895,West Nile virus,11015,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,2005
MH166896,West Nile virus,11025,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,2009
MH166897,West Nile virus,11022,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,2010
MH166898,West Nile virus,11027,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,2008
MH166899,West Nile virus,11028,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,2002
MH166900,West Nile virus,11018,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,2003
MH166901,West Nile virus,11025,complete,"USA: VA, Norfolk County",USA,VA,Aves,2000
MH166902,West Nile virus,11019,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,2010
MH166903,West Nile virus,11026,complete,"USA: VA, Norfolk County",USA,VA,Aves,2000
MH166904,West Nile virus,11018,complete,"USA: VA, Norfolk County",USA,VA,Aves,2000
MH166905,West Nile virus,11026,complete,"USA: VA, Norfolk County",USA,VA,Aves,2002
MH166906,West Nile virus,11026,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,2003
MH166907,West Nile virus,11018,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,2006
MH166908,West Nile virus,11018,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,2005
MH166909,West Nile virus,11023,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,2009
MH166910,West Nile virus,11018,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,2006
MH166911,West Nile virus,11023,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,2002
MH166912,West Nile virus,11024,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,2003
MH166913,West Nile virus,11029,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,2004
MH166914,West Nile virus,11028,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,2009
MH166915,West Nile virus,11019,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,2002
MH166916,West Nile virus,11029,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,2010
MH166917,West Nile virus,11019,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,2004
MH166918,West Nile virus,11023,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,2008
MH166919,West Nile virus,11013,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,2004
MH166920,West Nile virus,11027,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,2009
MH166921,West Nile virus,11027,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,2008
MH170226,West Nile virus,11018,complete,"USA: CO, Fort Collins (80526)",USA,CO,Turdus migratorius,2003
MH170227,West Nile virus,11003,complete,"USA: CO, Larimer County",USA,CO,Culex tarsalis,2004
MH170228,West Nile virus,11022,complete,"USA: CO, Larimer County",USA,CO,Culex pipiens,2003
MH170229,West Nile virus,11024,complete,"USA: CO, Weld County",USA,CO,Culicidae,2006
MH170230,West Nile virus,11013,complete,"USA: CO, Weld County",USA,CO,Culicidae,2007
MH170231,West Nile virus,11018,complete,"USA: CO, Fort Collins (80525)",USA,CO,Spinus tristis,2003
MH170232,West Nile virus,11013,complete,"USA: CO, Weld County",USA,CO,Culicidae,2006
MH170233,West Nile virus,11012,complete,"USA: CO, Loveland, LarimerCounty",USA,CO,Bubo virginianus,2004
MH170234,West Nile virus,11021,complete,"USA: CO, Fort Collins (80526)",USA,CO,Pica hudsonia,2003
MH170235,West Nile virus,11013,complete,"USA: CO, Weld County",USA,CO,Culicidae,2006
MH170236,West Nile virus,11021,complete,"USA: CO, Weld County",USA,CO,Culicidae,2006
MH170237,West Nile virus,11015,complete,"USA: CO, Larimer County",USA,CO,Culex pipiens,2003
MH170238,West Nile virus,11004,complete,"USA: CO, Fort Collins",USA,CO,Turdus migratorius,2003
MH170239,West Nile virus,11011,complete,"USA: CO, Weld County",USA,CO,Culex tarsalis,2006
MH170240,West Nile virus,11022,complete,"USA: CO, Wellington, Larimer County",USA,CO,Culex tarsalis,2008
MH170241,West Nile virus,11020,complete,"USA: CO, Weld County",USA,CO,Culex tarsalis,2007
MH170242,West Nile virus,11015,complete,USA: CO,USA,CO,Culicidae,2007
MH170243,West Nile virus,11024,complete,"USA: CO, Weld County",USA,CO,Culex tarsalis,2006
MH170244,West Nile virus,11015,complete,"USA: CO, Weld County",USA,CO,Culex tarsalis,2007
MH170245,West Nile virus,11012,complete,"USA: CO, Wellington, Larimer County",USA,CO,Culex tarsalis,2008
MH170246,West Nile virus,11005,complete,"USA: CO, Weld County",USA,CO,Culex tarsalis,2004
MH170247,West Nile virus,11012,complete,"USA: CO, Wellington, Larimer County",USA,CO,Culex tarsalis,2008
MH170248,West Nile virus,11025,complete,"USA: CO, Wellington, Larimer County",USA,CO,Buteo jamaicensis,2004
MH170249,West Nile virus,11014,complete,"USA: CO, Weld County",USA,CO,Culex tarsalis,2006
MH170250,West Nile virus,11015,complete,"USA: CO, Wellington, Larimer County",USA,CO,Culex tarsalis,2008
MH170251,West Nile virus,11016,complete,"USA: CO, Weld County",USA,CO,Culex tarsalis,2007
MH170252,West Nile virus,11014,complete,"USA: CO, Weld County",USA,CO,Culex tarsalis,2007
MH170253,West Nile virus,11005,complete,"USA: CO, Wellington, Larimer County",USA,CO,Culex pipiens,2008
MH170254,West Nile virus,11016,complete,"USA: CO, Ft. Collins (80526)",USA,CO,Spinus tristis,2003
MH170255,West Nile virus,11018,complete,"USA: CO, Scarborough Forth Collins",USA,CO,Culex pipiens,2008
MH170256,West Nile virus,11014,complete,"USA: CO, Fort Collins",USA,CO,Corvus brachyrhynchos,2003
MH170257,West Nile virus,11017,complete,"USA: GA, Lawnder County",USA,GA,Culex nigripalpus,2005
MH170258,West Nile virus,11010,complete,"USA: GA, Garden City, Chatham",USA,GA,Culex quinquefasciatus,2007
MH170259,West Nile virus,11011,complete,"USA: GA, Atlanta, Fulton County",USA,GA,Culex quinquefasciatus,2009
MH170260,West Nile virus,11012,complete,"USA: GA, Atlanta, Fulton County",USA,GA,Culex quinquefasciatus,2009
MH170261,West Nile virus,11015,complete,"USA: GA, Decatur, Dekalb County",USA,GA,Culex quinquefasciatus,2008
MH170262,West Nile virus,11015,complete,"USA: GA, Valdasta, Lowndes",USA,GA,Culex quinquefasciatus,2009
MH170263,West Nile virus,11014,complete,"USA: GA, Wane County",USA,GA,Cyanocitta cristata,2001
MH170264,West Nile virus,11009,complete,"USA: GA, Muscogee County",USA,GA,Baeolophus bicolor,2002
MH170265,West Nile virus,11006,complete,"USA: GA, Chattron County",USA,GA,Culex quinquefasciatus,2004
MH170266,West Nile virus,11004,complete,"USA: GA, Atlanta, Fulton County",USA,GA,Culex quinquefasciatus,2007
MH170267,West Nile virus,11012,complete,"USA: GA, Norcross, Gwinnett",USA,GA,Cyanocitta cristata,2007
MH170268,West Nile virus,11014,complete,"USA: GA, Savannah, Chatham",USA,GA,Cyanocitta cristata,2007
MH170269,West Nile virus,11011,complete,"USA: GA, Dekalb County",USA,GA,Cyanocitta cristata,2005
MH170270,West Nile virus,11001,complete,"USA: GA, Henry County",USA,GA,Corvus brachyrhynchos,2004
MH170271,West Nile virus,11011,complete,"USA: GA, Decatur, Dekalb County",USA,GA,Culex,2008
MH170272,West Nile virus,11005,complete,"USA: GA, Garden City, Chatham",USA,GA,Culex,2007
MH170273,West Nile virus,11014,complete,"USA: GA, Lowndes County",USA,GA,Corvus brachyrhynchos,2001
MH170274,West Nile virus,11018,complete,"USA: GA, Fulton County",USA,GA,Cyanocitta cristata,2002
MH170275,West Nile virus,11021,complete,"USA: GA, Dekalb County County",USA,GA,Corvus brachyrhynchos,2002
MH170276,West Nile virus,11019,complete,"USA: GA, Dekalb County County",USA,GA,Corvus brachyrhynchos,2001
MH244510,West Nile virus,11025,complete,Slovakia: Velky Biel,Slovakia,,Accipiter gentilis,2014
MH244511,West Nile virus,11026,complete,Slovakia: Velky Biel,Slovakia,,Accipiter gentilis,2013
MH244512,West Nile virus,11013,complete,Slovakia: Velky Biel,Slovakia,,Accipiter gentilis,2013
MH244513,West Nile virus,11012,complete,Slovakia: Secovce,Slovakia,,Accipiter nisus,2013
MF984344,West Nile virus,11024,complete,Austria,Austria,,Accipiter gentilis,2015
MF984345,West Nile virus,11013,complete,Austria,Austria,,Falco,2015
MF984349,West Nile virus,10720,complete,Austria,Austria,,Equus caballus,2016
MF984350,West Nile virus,10979,complete,Austria,Austria,,Equus caballus,2016
MF984351,West Nile virus,10980,complete,Austria,Austria,,Culex pipiens,2016
MF984352,West Nile virus,10800,complete,Austria,Austria,,Culex pipiens,2016
MF984337,West Nile virus,10990,complete,Austria,Austria,,Homo sapiens,2015
MF984338,West Nile virus,10836,complete,Austria,Austria,,Homo sapiens,2015
MF984339,West Nile virus,10831,complete,Austria,Austria,,Homo sapiens,2015
MF984340,West Nile virus,10831,complete,Austria,Austria,,Homo sapiens,2015
MF984341,West Nile virus,10658,complete,Austria,Austria,,Homo sapiens,2015
MF984342,West Nile virus,10831,complete,Austria,Austria,,Homo sapiens,2015
MF984343,West Nile virus,11013,complete,Austria,Austria,,Homo sapiens,2015
MF984346,West Nile virus,10829,complete,Austria,Austria,,Homo sapiens,2016
MF984347,West Nile virus,10991,complete,Austria,Austria,,Homo sapiens,2016
MF984348,West Nile virus,10832,complete,Austria,Austria,,Homo sapiens,2016
MH021189,West Nile virus,11060,complete,Belgium,Belgium,,Homo sapiens,2017-10
LC318700,West Nile virus,11050,complete,Zambia:Mongu district,Zambia,,Culex quinquefasciatus,2016-05-16
MG004528,West Nile virus,10803,complete,USA: AZ,USA,AZ,Culex tarsalis,2015-06-09
MG004529,West Nile virus,10803,complete,USA: AZ,USA,AZ,Culex quinquefasciatus,2014-06-26
MG004530,West Nile virus,10803,complete,USA: AZ,USA,AZ,Culex tarsalis,2016-10-20
MG004531,West Nile virus,10803,complete,USA: AZ,USA,AZ,Culex tarsalis,2016-05-11
MG004532,West Nile virus,10803,complete,USA: AZ,USA,AZ,Culex quinquefasciatus,2015-08-05
MG004533,West Nile virus,10803,complete,USA: AZ,USA,AZ,Culex quinquefasciatus,2014-06-03
MG004534,West Nile virus,10803,complete,USA: AZ,USA,AZ,Culex quinquefasciatus,2016-06-28
MG004535,West Nile virus,10803,complete,USA: AZ,USA,AZ,Culex tarsalis,2014-07-22
MG004536,West Nile virus,10803,complete,USA: AZ,USA,AZ,Culex quinquefasciatus,2016-08-25
MG004537,West Nile virus,10803,complete,USA: AZ,USA,AZ,Culex quinquefasciatus,2014-08-28
MG004538,West Nile virus,10803,complete,USA: AZ,USA,AZ,Culex quinquefasciatus,2015-10-07
MG004539,West Nile virus,10803,complete,USA: AZ,USA,AZ,Culex quinquefasciatus,2014-06-10
MG004540,West Nile virus,10803,complete,USA: AZ,USA,AZ,Culex quinquefasciatus,2015-05-12
MG004541,West Nile virus,10803,complete,USA: AZ,USA,AZ,Culex quinquefasciatus,2017-04-26
KT862843,West Nile virus,11025,complete,"USA: Texas, Harris County",USA,TX,Cyanocitta cristata,2010-09-08
KT862844,West Nile virus,11022,complete,"USA: Texas, Harris County",USA,TX,Corvus brachyrhynchos,2011-08-29
MF797870,West Nile virus,10982,complete,Cyprus,Cyprus,,Homo sapiens,2016-07
KY523178,West Nile virus,11050,complete,Uganda: Queen Elizabeth National Park,Uganda,,Culex neavei,2009-06
KY594040,West Nile virus,11050,complete,Greece,Greece,,Homo sapiens,2010
KY216149,West Nile virus,11016,complete,USA,USA,,Culex pipiens,2012-06-20
KY216150,West Nile virus,11016,complete,USA,USA,,Culex pipiens,2012-07-11
KY216151,West Nile virus,11001,complete,USA,USA,,Culex pipiens,2012-07-17
KY216152,West Nile virus,11001,complete,USA,USA,,Culex pipiens,2012-07-17
KY216153,West Nile virus,11015,complete,USA,USA,,Culex pipiens,2012-07-25
KY216155,West Nile virus,11007,complete,USA,USA,,Culex pipiens,2012-07-31
KY229068,West Nile virus,11015,complete,USA,USA,,Culex pipiens,2012-08-01
KY229069,West Nile virus,11013,complete,USA,USA,,Culex pipiens,2012-08-07
KY229070,West Nile virus,11014,complete,USA,USA,,Culex pipiens,2012-08-09
KY229071,West Nile virus,11015,complete,USA,USA,,Culex pipiens,2012-08-07
KY229072,West Nile virus,11012,complete,USA,USA,,Culex pipiens,2012-08-14
KY229073,West Nile virus,11014,complete,USA,USA,,Culex pipiens,2012-08-21
KY229074,West Nile virus,11013,complete,USA,USA,,Culex pipiens,2012-08-21
KX394389,West Nile virus,10796,complete,Australia,Australia,,Culex annulirostris,1974
KX547164,West Nile virus,10787,complete,"USA: Nassau Co., NY",USA,NY,Culex,2006-09-08
KX547165,West Nile virus,10787,complete,"USA: Broome Co., NY",USA,NY,Cyanocitta cristata,2005-09-10
KX547166,West Nile virus,10787,complete,"USA: Greene Co., NY",USA,NY,Equus caballus,2003-10-28
KX547167,West Nile virus,10787,complete,"USA: Onondaga Co., NY",USA,NY,Culiseta,2013-09-04
KX547168,West Nile virus,10787,complete,"USA: Albany Co., NY",USA,NY,Haemorhous mexicanus,2012-09-27
KX547169,West Nile virus,10787,complete,"USA: Oswego Co., NY",USA,NY,Culiseta,2015-09-02
KX547170,West Nile virus,10787,complete,"USA: Onondaga Co., NY",USA,NY,Culiseta,2003-09-23
KX547171,West Nile virus,10787,complete,"USA: Oneida Co., NY",USA,NY,Culiseta,2011-08-03
KX547172,West Nile virus,10787,complete,"USA: Greene Co., NY",USA,NY,Corvus ossifragus,2009-09-02
KX547173,West Nile virus,10787,complete,"USA: Orleans Co., NY",USA,NY,Corvus brachyrhynchos,2005-08-31
KX547174,West Nile virus,10787,complete,"USA: Westchester Co., NY",USA,NY,Culex,2013-07-16
KX547175,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Culex,2008-07-10
KX547176,West Nile virus,10787,complete,"USA: Westchester Co., NY",USA,NY,Culex,2003-08-12
KX547178,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Culiseta,2003-08-13
KX547179,West Nile virus,10787,complete,"USA: Richmond Co., NY",USA,NY,Corvus brachyrhynchos,2002-08-08
KX547180,West Nile virus,10787,complete,"USA: Oswego Co., NY",USA,NY,Corvus brachyrhynchos,2006-09-07
KX547181,West Nile virus,10786,complete,"USA: Ulster Co., NY",USA,NY,Cyanocitta cristata,2003-09-24
KX547182,West Nile virus,10787,complete,"USA: Orange Co., NY",USA,NY,Culex,2002-09-11
KX547183,West Nile virus,10787,complete,"USA: Westchester Co., NY",USA,NY,Culex,2008-07-22
KX547184,West Nile virus,10785,complete,"USA: Onondaga Co., NY",USA,NY,Culex,2013-08-28
KX547185,West Nile virus,10787,complete,"USA: Erie Co., NY",USA,NY,Culex,2012-09-06
KX547186,West Nile virus,10787,complete,"USA: Nassau Co., NY",USA,NY,Culex,2008-07-08
KX547187,West Nile virus,10787,complete,"USA: Albany Co., NY",USA,NY,Corvus brachyrhynchos,2008-08-28
KX547188,West Nile virus,10787,complete,"USA: Broome Co., NY",USA,NY,Culex,2003-08-15
KX547189,West Nile virus,10787,complete,"USA: Broome Co., NY",USA,NY,Culex,2002-08-09
KX547190,West Nile virus,10779,complete,"USA: Nassau Co., NY",USA,NY,Culex,2013-07-12
KX547191,West Nile virus,10787,complete,"USA: Dutchess Co., NY",USA,NY,Culex,2008-08-07
KX547192,West Nile virus,10787,complete,"USA: Oneida Co., NY",USA,NY,Culiseta,2011-08-24
KX547193,West Nile virus,10787,complete,"USA: Nassau Co., NY",USA,NY,Culex,2005-10-07
KX547194,West Nile virus,10787,complete,"USA: New York Co., NY",USA,NY,Corvus brachyrhynchos,2002-09-21
KX547195,West Nile virus,10787,complete,"USA: Bronx Co., NY",USA,NY,Corvus brachyrhynchos,2007-09-19
KX547196,West Nile virus,10787,complete,"USA: Nassau Co., NY",USA,NY,Culex,2013-09-17
KX547197,West Nile virus,10787,complete,"USA: Ontario Co., NY",USA,NY,Corvus brachyrhynchos,2004-07-29
KX547198,West Nile virus,10786,complete,"USA: Onondaga Co., NY",USA,NY,Culiseta,2012-08-28
KX547199,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Culex,2005-07-20
KX547200,West Nile virus,10787,complete,"USA: Orange Co., NY",USA,NY,Culex,2012-08-16
KX547201,West Nile virus,10787,complete,"USA: Nassau Co., NY",USA,NY,Aedes sp.,2012-07-20
KX547202,West Nile virus,10787,complete,"USA: Niagara Co., NY",USA,NY,Larus delawarensis,2004-09-26
KX547203,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Culex,2001-10-04
KX547204,West Nile virus,10787,complete,"USA: Washington Co., NY",USA,NY,Corvus brachyrhynchos,2002-09-12
KX547205,West Nile virus,10787,complete,"USA: Rockland Co., NY",USA,NY,Culex,2005-08-19
KX547206,West Nile virus,10787,complete,"USA: Chautauqua Co., NY",USA,NY,Culiseta,2015-08-07
KX547207,West Nile virus,10787,complete,"USA: Fulton Co., NY",USA,NY,Corvus brachyrhynchos,2002-08-14
KX547208,West Nile virus,10787,complete,"USA: Dutchess Co., NY",USA,NY,Culex,2007-07-02
KX547209,West Nile virus,10787,complete,"USA: Montgomery Co., NY",USA,NY,Corvus brachyrhynchos,2006-10-22
KX547210,West Nile virus,10787,complete,"USA: Nassau Co., NY",USA,NY,Culex,2001-08-17
KX547211,West Nile virus,10787,complete,"USA: Putnam Co., NY",USA,NY,Corvus brachyrhynchos,2006-09-11
KX547212,West Nile virus,10787,complete,"USA: Orange Co., NY",USA,NY,Culex,2003-09-30
KX547213,West Nile virus,10787,complete,"USA: Ulster Co., NY",USA,NY,Cyanocitta cristata,2002-09-13
KX547214,West Nile virus,10787,complete,"USA: Chautauqua Co., NY",USA,NY,Corvus brachyrhynchos,2009-09-10
KX547215,West Nile virus,10781,complete,"USA: Niagara Co., NY",USA,NY,Culex,2006-08-22
KX547216,West Nile virus,10787,complete,"USA: Rockland Co., NY",USA,NY,Culex,2011-09-16
KX547217,West Nile virus,10787,complete,"USA: Kings Co., NY",USA,NY,Colaptes auratus,2005-09-29
KX547218,West Nile virus,10787,complete,"USA: Monroe Co., NY",USA,NY,Culex,2003-08-14
KX547219,West Nile virus,10787,complete,"USA: Dutchess Co., NY",USA,NY,Culex,2007-08-30
KX547220,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Coquillettidia,2011-08-18
KX547221,West Nile virus,10787,complete,"USA: Nassau Co., NY",USA,NY,Culex,2014-09-23
KX547222,West Nile virus,10786,complete,"USA: Nassau Co., NY",USA,NY,Aedes sp.,2012-07-06
KX547223,West Nile virus,10787,complete,"USA: Queens Co., NY",USA,NY,Corvus brachyrhynchos,2005-09-16
KX547224,West Nile virus,10787,complete,"USA: Rockland Co., NY",USA,NY,Culex,2006-09-08
KX547225,West Nile virus,10787,complete,"USA: Rockland Co., NY",USA,NY,Culex,2010-09-17
KX547226,West Nile virus,10787,complete,"USA: Onondaga Co., NY",USA,NY,Culex,2007-07-25
KX547227,West Nile virus,10787,complete,"USA: Erie Co., NY",USA,NY,Culex,2011-09-01
KX547228,West Nile virus,10787,complete,"USA: Richmond Co., NY",USA,NY,Passer domesticus,2002-09-10
KX547229,West Nile virus,10787,complete,"USA: Orleans Co., NY",USA,NY,Cyanocitta cristata,2006-08-29
KX547230,West Nile virus,10787,complete,"USA: Niagara Co., NY",USA,NY,Culex,2002-09-20
KX547231,West Nile virus,10787,complete,"USA: Westchester Co., NY",USA,NY,Culex,2007-08-07
KX547232,West Nile virus,10787,complete,"USA: Richmond Co., NY",USA,NY,Passer domesticus,2004-08-30
KX547233,West Nile virus,10787,complete,"USA: Richmond Co., NY",USA,NY,Quiscalus quiscula,2007-07-19
KX547234,West Nile virus,10787,complete,"USA: Westchester Co., NY",USA,NY,Culex,2012-07-03
KX547235,West Nile virus,10787,complete,"USA: Orange Co., NY",USA,NY,Culex,2015-08-13
KX547236,West Nile virus,10787,complete,"USA: Onondaga Co., NY",USA,NY,Aedes sp.,2011-09-15
KX547237,West Nile virus,10788,complete,"USA: Genesee Co., NY",USA,NY,Corvus brachyrhynchos,2004-08-12
